Cuscuta Species,Lat,Long
C. kilimanjari,0,37.01666667
C. kilimanjari,-0.05,30.01666667
C. kilimanjari,-0.066666667,37
C. kilimanjari,-1,29.13333333
C. kilimanjari,-1,36.1
C. kilimanjari,-1.016666667,31.08333333
C. kilimanjari,-1.05,29.13333333
C. kilimanjari,-2.05,29.06666667
C. kilimanjari,-2.05,29.06666667
C. kilimanjari,-2.066666667,38
C. kilimanjari,-2.066666667,38
C. kilimanjari,-2.15,36.03333333
C. kilimanjari,-3.033333333,29.08333333
C. kilimanjari,-3.05,36.08333333
C. kilimanjari,-3.05,36.15
C. kilimanjari,-3.05,36.06666667
C. kilimanjari,-3.05,36.06666667
C. kilimanjari,-3.05,37.06666667
C. kilimanjari,-4.05,35.13333333
C. kilimanjari,-6.066666667,36.08333333
C. kilimanjari,-7.033333333,36.06666667
C. kilimanjari,-7.083333333,36.05
C. kilimanjari,-7.083333333,36.05
C. kilimanjari,-8.133333333,33.05
C. kilimanjari,-8.133333333,33.05
C. kilimanjari,9.016666667,36.11666667
C. kilimanjari,7.05,36.15
C. kilimanjari,7.05,36.15
C. kilimanjari,1.016666667,34.08333333
C. kilimanjari,1.033333333,34.11666667
C. kilimanjari,1.05,34.1
C. kilimanjari,1.066666667,34.1
C. kilimanjari,1.066666667,34.08333333
C. kilimanjari,1.016666667,37.11666667
C. kilimanjari,2.116666667,36.15
C. kilimanjari,5.1,37.06666667
C. kilimanjari,5.1,37.08333333
C. kilimanjari,6,37.1
C. kilimanjari,6.016666667,37.1
C. kilimanjari,6.016666667,38.13333333
C. kilimanjari,6.15,40.05
C. kilimanjari,7,38.08333333
C. kilimanjari,7,38.08333333
