gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2517761972,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270396,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Along path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517753938,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270395,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,1.5 km NW of Aro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517748967,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270390,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Campus of Institute of Agriculture at Jimma.,Kefa,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,7.666667,36.833333,,,,,,,1972-08-20T00:00:00,20,8,1972,3610757,2927490,PRESERVED_SPECIMEN,,Botany,WAG.1270390,Seegeler,,,,,,,,,,
2517742908,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270397,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,c. 30 km NW of Jimma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517734785,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1953871,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,8 km from Dembidolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517730994,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270408,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Jimma Agricultural School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517730993,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270392,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bahir Dar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517728998,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270391,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517522954,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270409,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,UG,W. Mengo U4; Mawokota County: near Mitala Maria Parish.,,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,0.066667,32.116667,,,,,,,1996-09-13T00:00:00,13,9,1996,3610757,2927490,PRESERVED_SPECIMEN,,Botany,WAG.1270409,Rwaburindore,,,,,,,,,,
2517510025,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270404,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517474051,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270403,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517336229,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270405,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,About 28 km NW of Jimma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516183832,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1961466,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,4 km N of Delgi on road to Chwahit and Gorgora.,Gondar,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,12.236667,37.073333,,,,,,,2011-12-27T00:00:00,27,12,2011,3610757,2927490,PRESERVED_SPECIMEN,,Botany,WAG.1961466,Friis,,,,,,,,,,
2515975636,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270417,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,KE,Kigane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515975635,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270402,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bonga road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515963698,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270389,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,c. 8 km south of Robbit on the main road towards Debra Sina.,Shewa,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,9.95,39.85,,,,,,,2000-11-22T00:00:00,22,11,2000,3610757,2927490,PRESERVED_SPECIMEN,,Botany,WAG.1270389,Friis,,,,,,,,,,
2515961621,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270401,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Bonga road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515949636,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270398,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,c. 30 km NW of Jimma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515889904,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270399,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,About 10 km NW of Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515806923,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270393,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,along road from Jimma to Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515794574,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG0028966,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,along road from Jimma to Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515771901,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270400,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,About 10 km NW of Bonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515762882,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270407,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,Jimma Agricultural School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515731692,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270406,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta pentagona,,SPECIES,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Yunck.,ET,About 28 km NW of Jimma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
