Cuscuta Species,Lat,Long
C. campestris,8.083333333,34.11666667
C. campestris,12.03333333,37.01666667
C. campestris,9,38
C. campestris,11.1,37.06666667
C. campestris,10,39.15
C. campestris,0.066666667,32.1
C. campestris,0.016666667,32.01666667
C. campestris,0.016666667,32.01666667
C. campestris,7.033333333,36.05
C. campestris,7.033333333,36.05
C. campestris,7.133333333,36.13333333
C. campestris,7.133333333,36.11666667
C. campestris,7.133333333,36.11666667
C. campestris,7.083333333,36.08333333
C. campestris,7.133333333,36.11666667
C. campestris,7.05,36.03333333
C. campestris,-0.016666667,37.1
C. campestris,-3.05,36.1
C. campestris,-5.016666667,38.11666667
C. campestris,-7.016666667,35.13333333
