gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2517765076,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270607,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,con-Colaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517761977,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270602,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,7 km on the road Worata to Debre Tabor (Beghemdir).,Gondar,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,11.916667,37.733333,,,,,,,1972-12-31T00:00:00,31,12,1972,3678466,3678466,PRESERVED_SPECIMEN,,Botany,WAG.1270602,Seegeler,,,,,,,,,,
2517761023,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270608,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,con-Colaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517753942,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270601,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,Arba Minch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517742913,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270603,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,c. 3 km NW of Ghidole.,Gamu-Gofa,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,5.633333,37.35,,,,,,,1997-12-27T00:00:00,27,12,1997,3678466,3678466,PRESERVED_SPECIMEN,,Botany,WAG.1270603,Friis,,,,,,,,,,
2517730998,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270613,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,Mountains above and just S of Gisole.,Gamu-Gofa,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,5.6,37.5,,,,,,,1969-08-29T00:00:00,29,8,1969,3678466,3678466,PRESERVED_SPECIMEN,,Botany,WAG.1270613,Wilde,,,,,,,,,,
2517729003,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270612,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,About 57 km from Jimma on the Sheki-Gogeb river track.,Kefa,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,7.25,36.916667,,,,,,,1972-12-08T00:00:00,8,12,1972,3678466,3678466,PRESERVED_SPECIMEN,,Botany,WAG.1270612,Friis,,,,,,,,,,
2517522958,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270614,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,44 km N of Kebre Mengist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517488955,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270619,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,TZ,Imiti Haraa Forest Reserve. On side facing North.,Manyara,,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-4.318889,35.766111,,,,,,,2010-08-11T00:00:00,11,8,2010,3678466,3678466,PRESERVED_SPECIMEN,,Botany,WAG.1270619,Kayombo,,,,,,,,,,
2517308286,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270609,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta kilimanjari,,SPECIES,Cuscuta kilimanjari Oliv.,Cuscuta kilimanjari Oliv.,Oliv.,ET,Along the road to Tana Plantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
