gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2598680188,c6b86c40-ff71-4e5e-902c-111f400d0d56,https://indiabiodiversity.org/observation/show/378992,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,,IN,,,PRESENT,,62431bdf-fa0c-452b-afce-be14884a47ff,12.873392,75.646362,,,,,,,2014-01-14T00:00:00,14,1,2014,2927545,2927545,HUMAN_OBSERVATION,,,378992,,Siddarth Jude Machado,,CC_BY_4_0,,Siddarth Jude Machado,,,2020-09-29T00:03:43.732Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2598667224,c6b86c40-ff71-4e5e-902c-111f400d0d56,https://indiabiodiversity.org/observation/show/272660,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,,IN,,,PRESENT,,62431bdf-fa0c-452b-afce-be14884a47ff,11.521877,76.024681,,,,,,,2013-04-29T00:00:00,29,4,2013,2927545,2927545,HUMAN_OBSERVATION,,,272660,,Chief RedEarth|Joby Paul|Thomas Vattakaven,,CC_BY_4_0,,Chief RedEarth,,,2020-09-29T00:03:41.541Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2598663289,c6b86c40-ff71-4e5e-902c-111f400d0d56,https://indiabiodiversity.org/observation/show/383337,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,,,,,PRESENT,,62431bdf-fa0c-452b-afce-be14884a47ff,12.982304,79.259209,,,,,,,2015-06-10T00:00:00,10,6,2015,2927545,2927545,HUMAN_OBSERVATION,,,383337,,S Kasim,,CC_BY_4_0,,S Kasim,,,2020-09-29T00:03:42.698Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2598659855,c6b86c40-ff71-4e5e-902c-111f400d0d56,https://indiabiodiversity.org/observation/show/270754,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,,IN,,,PRESENT,,62431bdf-fa0c-452b-afce-be14884a47ff,10.035567,76.334785,,,,,,,2013-01-15T00:00:00,15,1,2013,2927545,2927545,HUMAN_OBSERVATION,,,270754,,Joby Paul|Ravi Vaidyanathan,,CC_BY_4_0,,Umar Ka,,,2020-09-29T00:03:41.668Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2517773045,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270695,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,ID,Smeroe-Ajab-ajak.,Java,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.033333,112.916667,,,,,,,1929-07-10T00:00:00,10,7,1929,2927545,2927545,PRESERVED_SPECIMEN,,Botany,WAG.1270695,"Jeswiet, J  1590 A",,,CC0_1_0,Naturalis Biodiversity Center,Jeswiet J,,,2020-10-02T06:05:25.348Z,StillImage,
2516583088,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/L.2730173,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,ID,"Java, Ngebel.",Java,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-7.7891,111.6167,,,,,,,1922-01-01T00:00:00,1,1,1922,2927545,2927545,PRESERVED_SPECIMEN,,Botany,L.2730173,"Rant, A  s.n. ",Ooststroom SJ van,,CC0_1_0,Naturalis Biodiversity Center,Rant A,,,2020-10-02T06:05:16.499Z,StillImage,
2516551055,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/L.2730174,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,ID,"Java, Pasoeroean, Tosari.",Java,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-7.883333,112.9,,,,,,,1913-01-01T00:00:00,1,1,1913,2927545,2927545,PRESERVED_SPECIMEN,,Botany,L.2730174,"Backer, CA  8344 ",Ooststroom SJ van,,CC0_1_0,Naturalis Biodiversity Center,Backer CA,,,2020-10-02T06:05:08.121Z,StillImage,
2516382096,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/L.2730165,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,ID,"Java, Idjen, bij Prudok.",Java,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.033333,114,,,,,,,1931-06-26T00:00:00,26,6,1931,2927545,2927545,PRESERVED_SPECIMEN,,Botany,L.2730165,"Clason-Laarman, EHH E 71 ",Slooten DF van,,CC0_1_0,Naturalis Biodiversity Center,Clason-Laarman EHH,,,2020-10-02T06:05:09.455Z,StillImage,
2516382095,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/L.2730150,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,TH,Siam: Doi Chiengdao.,Northern,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,19.388334,98.890472,,,,,,,1931-12-22T00:00:00,22,12,1931,2927545,2927545,PRESERVED_SPECIMEN,,Botany,L.2730150,"Put, N  4501 ",,,CC0_1_0,Naturalis Biodiversity Center,Put N,,,2020-10-02T06:05:36.588Z,StillImage,
2516359113,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/L.2730169,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,,SPECIES,Cuscuta reflexa Roxb.,Cuscuta reflexa Roxb.,Roxb.,ID,"Java, zuidhelling van de G. Djembangan, Tengger massief.",Java,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,-7.864,111.5076,,,,,,,1938-04-16T00:00:00,16,4,1938,2927545,2927545,PRESERVED_SPECIMEN,,Botany,L.2730169,"Coert, JH  1517 ",,,CC0_1_0,Naturalis Biodiversity Center,Coert JH,,,2020-10-02T06:05:08.120Z,StillImage,
