Lat Long
-0.05 30.01666667
-0.066666667 37
-1 29.13333333
-1 36.1
-1.016666667 31.08333333
-1.05 29.13333333
-2.05 29.06666667
-2.066666667 38
-2.15 36.03333333
-3.033333333 29.08333333
-3.05 36.08333333
-3.05 36.15
-3.05 36.06666667
-3.05 37.06666667
-4.05 35.13333333
-6.066666667 36.08333333
-7.033333333 36.06666667
-7.083333333 36.05
-8.133333333 33.05
9.016666667 36.11666667
7.05 36.15
1.016666667 34.08333333
1.033333333 34.11666667
1.05 34.1
1.066666667 34.1
1.066666667 34.08333333
1.016666667 37.11666667
2.116666667 36.15
5.1 37.06666667
5.1 37.08333333
6 37.1
6.016666667 37.1
6.016666667 38.13333333
6.15 40.05
7 38.08333333
2.742778 36.8725
1.716667 37.25
0.016667 36.9
1.1825 36.9
1.158889 36.582778
1.247778 35.110833
3.166667 35
1.266667 35.2
10.583 35.5583
0.091944 36.746667
1.013333 35.005278
0.440278 35.448889
-0.65 36.216667
-1.366667 36.766667
-0.4 36.983333
-1.820167 37.58933
0.383333 38
-1.154167 36.926667
2.0755 36.63333
-1.48333 36.63333
-3.348333 36.8675
-3.016667 37.15
-3.217778 36.813333
-3.000833 37.133889
-2.870278 37.156389
-3.230833 36.838611
-3.030556 37.158889
-2.746944 36.325556
-3.266111 37.178333
-3.640278 37.658056
3.472778 34.294167
-1.2825 29.775
0.402778 32.686111
0.733333 30.166667
1.366667 34.683333
4.083333 38.333333
6.05 37.616667
7.416667 38.916667
0 37.01666667
