Lat,Long,Species
8.083333333,34.11666667,C. campestris
12.03333333,37.01666667,C. campestris
9,38,C. campestris
11.1,37.06666667,C. campestris
10,39.15,C. campestris
0.066666667,32.1,C. campestris
0.016666667,32.01666667,C. campestris
0.016666667,32.01666667,C. campestris
7.033333333,36.05,C. campestris
7.033333333,36.05,C. campestris
7.133333333,36.13333333,C. campestris
7.133333333,36.11666667,C. campestris
7.133333333,36.11666667,C. campestris
7.083333333,36.08333333,C. campestris
7.133333333,36.11666667,C. campestris
7.05,36.03333333,C. campestris
-0.016666667,37.1,C. campestris
-3.05,36.1,C. campestris
-5.016666667,38.11666667,C. campestris
-7.016666667,35.13333333,C. campestris
0.1125,34.820278,C. campestris
0.120833,34.79,C. campestris
0.141111,34.73,C. campestris
0.170556,34.747778,C. campestris
0.195556,34.758889,C. campestris
0.215833,34.768056,C. campestris
0.255,34.727222,C. campestris
0.136389,34.750278,C. campestris
0.114167,34.769167,C. campestris
-1.164444,36.640278,C. campestris
-1.209167,36.910833,C. campestris
-1.133611,36.9725,C. campestris
-0.485583,36.302772,C. campestris
-0.410667,36.253675,C. campestris
-0.278917,36.027806,C. campestris
-0.203694,35.810417,C. campestris
-0.226525,35.757528,C. campestris
0.169722,34.922933,C. campestris
0.133958,34.872933,C. campestris
0.112961,34.83875,C. campestris
0.1105,34.809972,C. campestris
0.113833,34.809972,C. campestris
-0.773889,36.398611,C. campestris
-0.306944,36.084167,C. campestris
-1.415278,36.895,C. campestris
-0.512222,36.8,C. campestris
-0.571389,36.731944,C. campestris
-1.108611,35.7675,C. campestris
-3.383611,38.362778,C. campestris
-3.241111,37.326944,C. campestris
-6.214444,35.721111,C. campestris
-3.283889,37.516944,C. campestris
0.067222,32.122778,C. campestris
9.991389,42.045278,C. campestris
6.898889,38.520556,C. campestris
6.898889,38.520556,C. campestris
-0.05,30.01666667,C. kilimanjari
-0.066666667,37,C. kilimanjari
-1,29.13333333,C. kilimanjari
-1,36.1,C. kilimanjari
-1.016666667,31.08333333,C. kilimanjari
-1.05,29.13333333,C. kilimanjari
-2.05,29.06666667,C. kilimanjari
-2.05,29.06666667,C. kilimanjari
-2.066666667,38,C. kilimanjari
-2.066666667,38,C. kilimanjari
-2.15,36.03333333,C. kilimanjari
-3.033333333,29.08333333,C. kilimanjari
-3.05,36.08333333,C. kilimanjari
-3.05,36.15,C. kilimanjari
-3.05,36.06666667,C. kilimanjari
-3.05,36.06666667,C. kilimanjari
-3.05,37.06666667,C. kilimanjari
-4.05,35.13333333,C. kilimanjari
-6.066666667,36.08333333,C. kilimanjari
-7.033333333,36.06666667,C. kilimanjari
-7.083333333,36.05,C. kilimanjari
-7.083333333,36.05,C. kilimanjari
-8.133333333,33.05,C. kilimanjari
-8.133333333,33.05,C. kilimanjari
9.016666667,36.11666667,C. kilimanjari
7.05,36.15,C. kilimanjari
7.05,36.15,C. kilimanjari
1.016666667,34.08333333,C. kilimanjari
1.033333333,34.11666667,C. kilimanjari
1.05,34.1,C. kilimanjari
1.066666667,34.1,C. kilimanjari
1.066666667,34.08333333,C. kilimanjari
1.016666667,37.11666667,C. kilimanjari
2.116666667,36.15,C. kilimanjari
5.1,37.06666667,C. kilimanjari
5.1,37.08333333,C. kilimanjari
6,37.1,C. kilimanjari
6.016666667,37.1,C. kilimanjari
6.016666667,38.13333333,C. kilimanjari
6.15,40.05,C. kilimanjari
7,38.08333333,C. kilimanjari
7,38.08333333,C. kilimanjari
2.742778,36.8725,C. kilimanjari
1.716667,37.25,C. kilimanjari
0.016667,36.9,C. kilimanjari
1.1825,36.9,C. kilimanjari
1.158889,36.582778,C. kilimanjari
1.247778,35.110833,C. kilimanjari
3.166667,35,C. kilimanjari
1.266667,35.2,C. kilimanjari
10.5830,35.5583,C. kilimanjari
0.091944,36.746667,C. kilimanjari
1.013333,35.005278,C. kilimanjari
0.440278,35.448889,C. kilimanjari
-0.65,36.216667,C. kilimanjari
-1.366667,36.766667,C. kilimanjari
-0.4,36.983333,C. kilimanjari
-1.820167,37.58933,C. kilimanjari
0.383333,38,C. kilimanjari
-1.154167,36.926667,C. kilimanjari
2.0755,36.63333,C. kilimanjari
-1.48333,36.63333,C. kilimanjari
-3.348333,36.8675,C. kilimanjari
-3.016667,37.15,C. kilimanjari
-3.217778,36.813333,C. kilimanjari
-3.000833,37.133889,C. kilimanjari
-2.870278,37.156389,C. kilimanjari
-3.230833,36.838611,C. kilimanjari
-3.030556,37.158889,C. kilimanjari
-2.746944,36.325556,C. kilimanjari
-3.266111,37.178333,C. kilimanjari
-3.640278,37.658056,C. kilimanjari
3.472778,34.294167,C. kilimanjari
-1.2825,29.775,C. kilimanjari
0.402778,32.686111,C. kilimanjari
0.733333,30.166667,C. kilimanjari
1.366667,34.683333,C. kilimanjari
4.083333,38.333333,C. kilimanjari
6.05,37.616667,C. kilimanjari
7.416667,38.916667,C. kilimanjari
